drugbank_id	selleck_id
DB00648	Mitotane(Lysodren)
DB00649	Stavudine
DB00650	Leucovorin-Calcium
DB00650	calcium-levofolinate-calcium-folinate
DB00651	Dyphylline(Dilor)
DB00655	Estrone
DB00656	trazodone-hydrochloride-desyrel
DB00668	L-Adrenaline-Epinephrine
DB00668	dl-adrenaline
DB00672	chlorpropamide
DB00673	Aprepitant
DB00674	Galanthamine-hydrobromide
DB00675	Tamoxifen-Citrate(Nolvadex)
DB00678	losartan-potassium
DB00681	Amphotericin-B(Abelcet)
DB00684	Tobramycin(free-base)
DB00688	Mycophenolate-mofetil-(CellCept)
DB00691	moexipril-hydrochloride
DB00692	phentolamine-mesilate
DB00694	daunorubicin-hcl-daunomycin-hcl
DB00695	Furosemide(Lasix)
DB00697	Tizanidine-hydrochloride
DB00700	Eplerenone(Inspra)
DB00701	Amprenavir-(Agenerase)
DB00703	methazolamide
DB00709	Lamivudine(Epivir)
DB00710	ibandronate-sodium
DB00712	Flurbiprofen(Ansaid)
DB00713	Oxacillin-sodium-monohydrate
DB00715	paroxetine-hcl
DB00717	norethindrone-norethisterone
DB00718	Adefovir-Dipivoxil(Preveon)
DB00719	azatadine-dimaleate
DB00721	procaine-novocaine-hcl
DB00722	lisinopril-zestril
DB00724	Imiquimod
DB00725	homatropine-methylbromide
DB00728	Rocuronium-bromide
DB00730	Thiabendazole
DB00731	Nateglinide(Starlix)
DB00732	atracurium-besylate
DB00732	cisatracurium-besylate-nimbex
DB00734	Risperidone(Risperdal)
DB00735	naftifine-hydrochloride
DB00736	Omeprazole
DB00737	meclizine-dihydrochloride
DB00738	pentamidine
DB00740	Riluzole(Rilutek)
DB00741	Hydrocortisone
DB00742	D-Mannitol(Osmitrol)
DB00742	Sorbitol(Glucitol)
DB00744	Zileuton
DB00747	Scopolamine-hydrobromide
DB00749	Etodolac
DB00750	Prilocaine
DB00755	Isotretinoin
DB00755	Tretinoin(Aberela)
DB00758	Clopidogrel-bisulfate
DB00759	tetracycline-hydrochloride
DB00760	Meropenem
DB00762	Irinotecan
DB00762	Irinotecan-Hcl-Trihydrate-Campto
DB00763	Methimazole(Tapazole)
DB00770	Alprostadil(Caverject)
DB00773	Etopophos
DB00776	Oxcarbazepine
DB00778	Roxithromycin(Roxl-150)
DB00779	Nalidixic-acid(NegGram)
DB00783	Estradiol
DB00784	mefenamic-acid
DB00786	marimastat
DB00787	Acyclovir(Aciclovir)
DB00790	Perindopril-Erbumine(Aceon)
DB00792	tripelennamine-hydrochloride
DB00794	Primidone(Mysoline)
DB00795	Sulfasalazine(Azulfidine)
DB00796	Candesartan-cilexetil-Atacand
DB00797	tolazoline-hcl
DB00798	Gentamycin-sulfate(Gentacycol)
DB00799	Tazarotene(Avage)
DB00800	fenoldopam-corlopam
DB00807	proparacaine-hcl
DB00808	Indapamide(Lozol)
DB00809	tropicamide
DB00810	Biperiden-hydrochloride
DB00811	Ribavirin(Copegus)
DB00812	Phenylbutazone(Butazolidin)
DB00814	Meloxicam(Mobic)
DB00820	Tadalafil(Cialis)
DB00821	carprofen
DB00822	Disulfiram(Antabuse)
DB00823	ethynodiol-diacetate
DB00826	Natamycin(Pimaricin)
DB00831	trifluoperazine-dihydrochloride
DB00833	Cefaclor-(Ceclor)
DB00834	Mifepristone(Mifeprex)
DB00835	brompheniramine
DB00836	Loperamide-hydrochloride
DB00843	Donepezil-hydrochloride(Aricept)
DB00845	clofazimine
DB00848	Levamisole-Hydrochloride(Ergamisol)
DB00851	Dacarbazine
DB00853	Methazolastone
DB00855	5-Aminolevulinic-acid-hydrochloride
DB00857	Terbinafine(Lamisil)
DB00857	Terbinafine-hydrochloride(Zabel)
DB00859	Penicillamine(Cuprimine)
DB00860	Prednisolone(Hydroretrocortine)
DB00862	Vardenafil(Vivanza)
DB00863	Ranitidine-hydrochloride(Zantac)
DB00864	FK-506-(Tacrolimus)
DB00867	Ritodrine-hydrochloride-Yutopar
DB00869	Dorzolamide-HCL
DB00870	Suprofen(Profenal)
DB00871	terbutaline-sulfate
DB00872	conivaptan-hcl-vaprisol
DB00874	Guaifenesin(Guaiphenesin)
DB00877	Rapamycin
DB00879	Emtricitabine
DB00880	Chlorothiazide(Diuril)
DB00881	quinapril-hydrochloride-accupril
DB00882	Clomifene-citrate-Serophene
DB00884	Risedronate-sodium
DB00884	risedronic-acid-actonel
DB00887	Bumetanide
DB00889	Granisetron-Hydrochloride
DB00891	Sulfapyridine(Dagenan)
DB00900	Didanosine(Videx)
DB00904	Ondansetron-hydrochloride
DB00904	ondansetron-zofran
DB00905	Bimatoprost
DB00909	Zonisamide
DB00911	tinidazole
DB00912	Repaglinide
DB00914	Phenformin-hydrochloride
DB00916	Metronidazole(Flagyl)
DB00917	prostaglandin-e2-cervidil
DB00918	almotriptan-malate-axert
DB00919	Spectinomycin--hydrochloride
DB00920	ketotifen-fumarate-zaditor
DB00922	levosimendan
DB00925	Phenoxybenzamine-hydrochloride
DB00927	famotidine-pepcid
DB00928	Azacitidine(Vidaza)
DB00931	Methacycline-hydrochloride-Physiomycine
DB00934	Maprotiline-hydrochloride
DB00935	Oxymetazoline-hydrochloride
DB00943	Zalcitabine
DB00945	aspirin-acetylsalicylic-acid
DB00947	Fulvestrant
DB00948	mezlocillin-sodium
DB00949	Felbamate
DB00950	fexofenadine-hcl
DB00951	Isoniazid(Tubizid)
DB00952	Naratriptan(Amerge)
DB00953	Rizatriptan-Benzoate(Maxalt)
DB00955	netilmicin-sulfate
DB00958	Carboplatin
DB00959	Methylprednisolone
DB00961	mepivacaine-hydrochloride
DB00966	Telmisartan(Micardis)
DB00967	desloratadine
DB00968	Methyldopa(Aldomet)
DB00972	Azelastine-hydrochloride-Astelin
DB00975	Dipyridamole(Permole,-Persantine)
DB00977	Ethinyl-Estradiol
DB00978	Lomefloxacin-hydrochloride-Maxaquin
DB00980	Ramelteon
DB00982	Isotretinoin
DB00982	Tretinoin(Aberela)
DB00983	formoterol-hemifumarate
DB00987	Cytarabine(Cytosar-U)
DB00987	cytidine
DB00989	rivastigmine-tartrate-exelon
DB00990	Exemestane
DB00993	Azathioprine(Azasan)
DB00996	Gabapentin(Neurontin)
DB00999	Hydrochlorothiazide
DB01002	Bupivacaine-hydrochloride(Marcain)
DB01002	lvobupivacaine-hcl
DB01003	disodium-Cromoglycate
DB01004	ganciclovir
DB01005	Hydroxyurea(Cytodrox)
DB01006	Letrozole
DB01007	tioconazole
DB01008	Busulfan(Busulfex)
DB01009	Ketoprofen(Actron)
DB01012	Cinacalcet-hydrochloride
DB01013	clobetasol-propionate
DB01015	Sulfamethoxazole
DB01019	Carbamyl-beta-methylcholine-chloride(Bethanechol-chloride)
DB01021	Trichlormethiazide(Achletin)
DB01023	Felodipine(Plendil)
DB01024	Mycophenolic-acid(Mycophenolate)
DB01026	Ketoconazole
DB01029	Irbesartan(Avapro)
DB01030	Topotecan-Hydrochloride
DB01033	Mercaptopurine
DB01041	Thalidomide
DB01043	memantine-hydrochloride-namenda
DB01044	Gatifloxacin
DB01045	Rifampin(Rifadin)
DB01046	Lubiprostone(Amitiza)
DB01047	Fluocinonide(Vanos)
DB01050	Ibuprofen(Advil)
DB01051	Novobiocin-sodium(Albamycin)
DB01054	Nitrendipine
DB01058	Praziquantel(Biltricide)
DB01059	Norfloxacin(Norxacin)
DB01060	amoxicillin-(amox)
DB01060	amoxicillin-amoxycillin
DB01061	azlocillin-sodium-salt
DB01062	Oxybutynin(Ditropan)
DB01062	oxybutynin-chloride
DB01064	Isoprenaline-hydrochloride
DB01067	Glipizide(Glucotrol)
DB01072	Atazanavir
DB01073	Fludarabine(Fludara)
DB01077	etidronate-didronel
DB01082	streptomycin-sulfate
DB01083	Orlistat(Alli)
DB01087	primaquine-diphosphate
DB01091	butenafine-hydrochloride
DB01092	ouabain
DB01094	Hesperetin
DB01097	Leflunomide
DB01099	Flucytosine(Ancobon)
DB01101	Capecitabine(Xeloda)
DB01104	sertraline-hcl
DB01108	Trilostane
DB01110	Miconazole-Monistat
DB01110	Miconazole-nitrate
DB01114	Chlorpheniramine-maleate
DB01115	Nifedipine(Adalat)
DB01117	atovaquone-atavaquone
DB01118	amiodarone-hcl
DB01120	gliclazide-diamicron
DB01124	tolbutamide
DB01126	Dutasteride
DB01127	Econazole-nitrate-Spectazole
DB01128	Bicalutamide(Casodex)
DB01132	pioglitazone-actos
DB01132	pioglitazone-hydrochloride-actos
DB01136	carvedilol
DB01137	Levofloxacin(Levaquin)
DB01137	Ofloxacin(Floxin)
DB01144	Dichlorphenamide(Diclofenamide)
DB01147	Cloxacillin-sodium-Cloxacap
DB01148	flavoxate-hcl
DB01150	Cefprozil-hydrate-Cefzil
DB01156	Amfebutamone-hydrochloride(Bupropion)
DB01160	trometamol
DB01162	terazosin-hydrochloride-hytrin
DB01165	Levofloxacin(Levaquin)
DB01165	Ofloxacin(Floxin)
DB01166	Cilostazol
DB01167	Itraconazole(Sporanox)
DB01168	procarbazine-hydrochloride-matulane
DB01171	moclobemide
DB01173	orphenadrine-citrate-norflex
DB01175	escitalopram-oxalate
DB01176	cyclizine-2hcl
DB01177	Idarubicin
DB01178	Chlormezanone(Trancopal)
DB01181	Ifosfamide
DB01182	Propafenone(Rytmonorm)
DB01183	naloxone-hcl
DB01184	Domperidone(Motilium)
DB01186	Pergolide-mesylate
DB01188	Ciclopirox-Penlac
DB01188	ciclopirox-ethanolamine
DB01190	Clindamycin-hydrochloride(Dalacin)
DB01190	clindamycin
DB01193	acebutolol-hcl
DB01194	brinzolamide
DB01197	captopril-capoten
DB01201	Rifapentine(Priftin)
DB01202	Levetiracetam
DB01205	Flumazenil
DB01206	Lomustine(CeeNU)
DB01208	sparfloxacin
DB01211	clarithromycin
DB01216	Finasteride
DB01217	Anastrozole
DB01220	Rifaximin(Xifaxan)
DB01222	Budesonide
DB01223	Aminophylline(Truphylline)
DB01224	Quetiapine-fumarate(Seroquel)
DB01229	Paclitaxel(Taxol)
DB01234	Betamethasone-(Celestone)
DB01234	Dexamethasone
DB01235	Levodopa(Sinemet)
DB01238	aripiprazole-abilify
DB01239	Chlorprothixene
DB01241	Gemfibrozil(Lopid)
DB01242	Clomipramine-hydrochloride-Anafranil
DB01243	Chloroxine
DB01245	decamethonium-bromide
DB01248	Docetaxel(Taxotere)
DB01250	olsalazine-sodium
DB01251	gliquidone
DB01252	mitiglinide-calcium
DB01254	Dasatinib
DB01256	retapamulin
DB01259	Lapatinib-Ditosylate
DB01259	lapatinib
DB01260	Desonide
DB01261	Sitagliptin
DB01262	Decitabine
DB01263	Posaconazole
DB01264	Darunavir-Ethanolate(Prezista)
DB01265	Telbivudine(Sebivo)
DB01267	Paliperidone(Invega)
DB01268	Sunitinib-Malate-(Sutent)
DB01273	Varenicline-tartrate
DB01274	formoterol-hemifumarate
DB01275	Hydralazine-hydrochloride
DB01280	Arranon
DB01283	lumiracoxib-cox-189
DB01294	bismuth-subsalicylate
DB01299	Sulfadoxine(Sulphadoxine)
DB01329	cefoperazone-cefobid
DB01337	Pancuronium-bromide(Pavulon)
DB01339	Vecuronium-Bromide
DB01340	cilazapril-monohydrate-inhibace
DB01357	Mestranol
DB01366	procaterol-hcl
DB01367	rasagiline-mesylate
DB01380	Cortisone-acetate-Cortone
DB01392	Yohimbine-hydrochloride(Antagonil)
DB01395	Drospirenone
DB01399	sasapyrine
DB01400	Neostigmine-bromide(Prostigmin)
DB01409	Tiotropium-Bromide-hydrate
DB01412	Theobromine(3,7-Dimethylxanthine)
DB01424	amidopyrine
DB01435	antipyrine
DB01436	Alfacalcidol
DB01495	antipyrine
DB01581	sulfamerazine
DB01582	sulfamethazine
DB01583	l-thyroxine
DB01586	Chenodeoxycholic-acid
DB01586	Ursodiol(Actigal)
DB01590	Everolimus(RAD001)
DB01591	solifenacin-succinate
DB01599	probucol
DB01601	Lopinavir
DB01607	ticarcillin-sodium
DB01609	Deferasirox(Exjade)
DB01616	alverine-citrate
DB01627	Lincomycin-hydrochloride(Lincocin)
DB01638	D-Mannitol(Osmitrol)
DB01638	Sorbitol(Glucitol)
DB01645	Genistein
DB01656	Roflumilast(Daxas)
DB01698	Rutin(Rutoside)
DB01708	Dehydroepiandrosterone(DHEA)
DB01782	SP600125
DB01783	Pantothenic-acid(pantothenate)
DB01809	pp1
DB01852	Kaempferol
DB01880	Caffeic-acid
DB01914	Dextrose(D-glucose)
DB01944	blebbistatin
DB01954	Rolipram
DB01954	sRolipram
DB01956	Taurine
DB02010	Staurosporine
DB02032	captopril-capoten
DB02097	Cytarabine(Cytosar-U)
DB02097	cytidine
DB02161	homatropine-bromide
DB02174	D-glutamine
DB02174	Glutamine
DB02224	Taxifolin(Dihydroquercetin)
DB02255	gm6001
DB02262	Orotic-acid(6-Carboxyuracil)
DB02342	2-Methoxyestradiol(2ME2)
DB02375	Myricetin(Cannabiscetin)
DB02424	geldanamycin
DB02546	Vorinostat-(SAHA)
DB02565	m344
DB02587	forskolin
DB02648	L-carnitine(Levocarnitine)
DB02656	LY294002
DB02701	Nicotinamide(Niacinamide)
DB02709	Resveratrol
DB02740	3-Indolebutyric-acid(IBA)
DB02745	uridine
DB02789	pregnenolone
DB02854	epiandrosterone-3beta-androsterone
DB02857	guanosine
DB02857	guanosine-hydrate
DB02932	Bicalutamide(Casodex)
DB02959	5-hydroxytryptophan(5-HTP)
DB03010	Epothilone-B
DB03023	pp2
DB03034	Levofloxacin(Levaquin)
DB03034	Ofloxacin(Floxin)
DB03044	BIRB-796-(Doramapimod)
DB03068	zebularine
DB03115	PD318088
DB03125	trimethoprim
DB03128	Acetylcholine-chloride
DB03256	Leucovorin-Calcium
DB03256	calcium-levofolinate-calcium-folinate
DB03283	L(+)-Rhamnose-Monohydrate
DB03285	Isoliquiritigenin
DB03322	propranolol-hcl
DB03419	uracil
DB03424	Ubenimex(Bestatin)
DB03467	Naringenin
DB03485	L(+)-Rhamnose-Monohydrate
DB03496	flavopiridol-hydrochloride
DB03528	Adenosine(Adenocard)
DB03528	Vidarabine(Vira-A)
DB03604	tiratricol
DB03606	Rolipram
DB03606	sRolipram
DB03701	Vanoxerine(GBR-12909)
DB03754	trometamol
DB03773	L(+)-Rhamnose-Monohydrate
DB03783	phenacetin
DB03791	gw3965
DB03849	Cilomilast(SB-207499)
DB03880	bb-94
DB03894	rasagiline-mesylate
DB03921	ly364947
DB04038	Ergosterol
DB04062	L(+)-Rhamnose-Monohydrate
DB04076	hypoxanthine
DB04104	3-methyladenine
DB04115	Berberine-Hydrochloride
DB04149	Rolipram
DB04149	sRolipram
DB04209	dequalinium-chloride
DB04216	Quercetin(Sophoretin)
DB04263	geneticin-g418-sulfate
DB04297	Trichostatin-A
DB04335	inosine
DB04365	arecoline
DB04441	Fludarabine(Fludara)
DB04473	L(+)-Rhamnose-Monohydrate
DB04485	Telbivudine(Sebivo)
DB04540	cholesterol
DB04552	niflumic-acid
DB04572	Thiotepa(Thioplex)
DB04573	Estriol(Oestriol)
DB04576	Fleroxacin(Quinodis)
DB04599	Aniracetam
DB04650	biotin-vitamin-b7
DB04665	coumarin
DB04690	Camptothecine
DB04703	Hesperidin
DB04703	Methyl-Hesperidin
DB04725	licofelone
DB04743	nimesulide
DB04769	AS-605240
DB04794	bifonazole
DB04835	Maraviroc
DB04838	cyclandelate
DB04839	cyproterone-acetate
DB04841	flunarizine-dihydrochloride
DB04847	fg-4592
DB04849	Cediranib
DB04854	Febuxostat(Uloric)
DB04855	dronedarone-hcl-multaq
DB04861	Nebivolol(Bystolic)
DB04864	(-)-Huperzine-A
DB04868	Nilotinib
DB04871	lorcaserin-hcl
DB04876	vildagliptin-laf-237
DB04879	Vatalanib,Dihydrochloride-Salt
DB04884	Dapoxetine-hydrochloride(Priligy)
DB04890	bepotastine-besilate
DB04896	milnacipran-hydrochloride
DB04910	oxibendazole
DB04920	cleviprex-clevidipine
DB04944	Acadesine
DB04946	Iloperidone(Fanapt)
DB04951	pirfenidone
DB04960	Tipifarnib(R115777)
DB05015	Belinostat
DB05016	PTC124
DB05022	Amonafide
DB05039	indacaterol-maleate
DB05057	erdosteine
DB05134	17-AAG(Geldanamycin)
DB05154	pa-824
DB05220	MLN8237
DB05223	SB939
DB05289	Flurbiprofen(Ansaid)
DB05294	Vandetanib
DB05351	Lansoprazole
DB05351	dexlansoprazole
DB05424	CI-1033(Canertinib)
DB05465	Tandutinib-(MLN518)
DB05470	VX-702
DB05482	sn-38
DB05521	Telaprevir(VX-950)
DB05524	Pelitinib
DB05552	TG100-115
DB05575	Motesanib-Diphosphate
DB05607	prx-08066
DB05626	ipi-504
DB05667	Ketoconazole
DB05676	apremilast-cc-10004
DB05695	nps-2143
DB05719	Elesclomol
DB05767	Andrographolide
DB05812	Abiraterone
DB05913	OSI-930
DB05928	CHIR-258
DB05928	dovitinib
DB05932	Denibulin
DB05944	arry334543
DB05969	SNS-032
DB05984	RAF265(CHIR-265)
DB05992	NPI-2358
DB06061	AZD8330(ARRY-424704)
DB06070	pf-04929113
DB06075	OSI-906
DB06091	th-302
DB06134	SNS-314
DB06137	kx2-391
DB06147	sulfathiazole
DB06148	Mianserin-hydrochloride
DB06150	sulphadimethoxine
DB06151	Acetylcysteine
DB06153	Pizotifen-malate
DB06155	rimonabant-sr141716
DB06176	Romidepsin-FK228
DB06188	Ispinesib-mesilate(SB-715992)
DB06191	LY335979
DB06195	Roscovitine
DB06201	Rufinamide
DB06203	alogliptin-syr-322
DB06207	Silodosin(Rapaflo)
DB06209	Prasugrel
DB06210	Eltrombopag-SB-497115-GR
DB06211	Doripenem-Hydrate
DB06212	tolvaptan-opc-41061
DB06216	Asenapine
DB06228	Rivaroxaban
DB06233	Deforolimus
DB06235	DMXAA(ASA404)
DB06237	avanafil
DB06240	tariquidar
DB06253	trometamol
DB06266	lonidamine
DB06281	torcetrapib-cp-529414
DB06282	Cetirizine-di-hcl
DB06287	Temsirolimus
DB06288	Amisulpride
DB06292	Dapagliflozin
DB06306	at13387
DB06314	SGX-523
DB06335	Saxagliptin(Onglyza)
DB06346	gsk2190915-am803
DB06401	bazedoxifene-hcl
DB06403	ambrisentan
DB06410	Doxercalciferol(Hectorol)
DB06414	etravirine-tmc125
DB06436	semaxanib-su5416
DB06442	Avasimibe(CI-1011)
DB06448	lonafarnib-sch66336
DB06477	U-95666E(Sumanirole-maleate)
DB06480	prucalopride
DB06486	Enzastaurin
DB06523	Ribavirin(Copegus)
